,original content,content
647,近日，威胁研究团队在外部发现了一例属于海莲花组织的64位恶意文件。该恶意文件的原始文件名为tier0_s64.dll，存在大量的导出函数，但是大部分相关的导出函数名称为空。经过搜索tier0_s64.dll文件名,最近，一支研究团队在外部发现了一封来自海莲花组织的64位成员的恶意邮件。在此情况下，原始文件名为tier0_s64.dll，它被编写为具有攻击性，并在其中包含了大量的导出函数，但大部分导出的函数名称都是空。打开名为tier0_s64.dll的文件是学习如何编写程序的。
648,研究人员深入研究了Donot组织最近活动中使用了yty恶意软件的两种变体——DarkMusical和Gedit。在DarkMusical相关攻击中，攻击者将发送PowerPoint文档，其中包含一个宏，该宏部署下载器的第一个组件并使用计划任务持续存在。下载器旨在下载最终组件，该组件用作具有最少功能的后门：它下载独立组件，使用ShellExecuteWindowsAPI执行它们，获取并保存新的C&C URL。Gedit活动利用CVE-2017-11882删除文档中包含的两个DLL文件并执行其中一个的RTF文件。其他组件在各个阶段下载到受感染的计算机。这些组件是用Go和C++（使用MinGW和VisualStudio编译器）编写的。攻击行动或事件情报01攻击者利用新型破坏性恶意软件“WhisperGate”针对乌克兰实,在当前情况下，一项名为DarkMusical和Gedit的恶意软件正在困扰着Donot组织，而这些问题可能与使用的软件有关。最近，一位音乐爱好者发布了一份PowerPoint文档，其中包含一个宏，该宏会在下载后立即执行，并持续执行一段时间。想要获取最少的组件，可以使用ShellExecuteWindowsAPI命令行工具，并在其执行过程中获取C&C URL。要在CVE-2017-1188的文档中包含的两个DLL文件中执行其中一个，需要编写RTF文件。随着网络的普及，学生们经常使用计算机进行学习，而当他们的计算机受到感染时，也会带来一定的问题。这些组件是用Go和C++编写的，并在Visual Studio中进行编译。最近，一支来自乌克兰的攻击团队利用了一种名为“WhisperGate”的强力恶意软件对目标国家进行了攻击。
649,1月13日，微软研究人员发现来自乌克兰的入侵活动似乎是主引导记录(MBR)Wiper活动。分析过程中发现攻击者使用了一种独特的恶意软件“WhisperGate”用于针对乌克兰多个受害组织的入侵攻击。“WhisperGate”伪装成勒索软件，但缺乏赎金恢复机制，旨在破坏数据、使目标设备无法操作，而不是获得赎金。第一阶段，该恶意软件使用stage1.exe驻留在各种工作目录中，包括C:\PerfLogs、C:\ProgramData、C:\和C:\temp，覆盖主引导记录(MBR)以显示赎金记录。第二阶段执行下载器stage2.exe，下载托管在Discord频道上的下一阶段恶意软件，下载链接硬编码在下载器中。下一阶段的恶意软件一旦在内存中执行，就会使用以下硬编码文件扩展名之一定位系统上某些目录中的文件：02攻击者针对可再生能源公司进行网络间谍活,"微软的研究人员最近发现，来自乌克兰的入侵活动可能与主引导（MBR）有关。最近，一支来自乌克兰的团队利用了一种名为“WhisperGate”的恶意软件，入侵了多个目标组织。最近，一款名为“WhisperGate”的勒索软件困扰了用户，因为其中的数据共享机制未能实现真正的加密。虽然该软件被宣传为能够破解数据共享，但事实上它只是对被 ""__whisperGate"" 的设备进行了操作，导致设备无法正常运行。近期的安全问题引起了关注，因为stage1.exe已经感染了多个工作目录，包括C:\PerfLogs、C:\ProgramData、C:\和C:\temp。同时，主引导记录也被覆盖了。最近，一位用户在Discord上分享了名为“stage2.exe”的文件，这是一段硬编码的文本，用于向后方的恶意软件进行安装。最近，一位攻击者利用对系统上的某些目录进行硬编码的文件名，对一家可再生能源公司进行了网络间谍活动。"
650,研究人员发现一项主要针对可再生能源和工业技术组织的大规模网络间谍活动，并且至少自2019年以来一直在活跃，针对全球超过15个实体。分析显示，攻击者使用自定义的“邮箱”工具包、部署在攻击者基础设施上的简单网络钓鱼包，以及受感染托管网络钓鱼页面的合法网站。大多数网络钓鱼页面托管在“*.eu3[.]biz”、“*.eu3[.]org”和“*.eu5[.]net”域中，而大多数受感染站点位于巴西（“*.com[.]br”）。网络钓鱼活动的目标是窃取为可再生能源公司、环境保护组织和一般工业技术工作的人员的登录凭据。03深入分析 Earth Lusca’s Operation,近几年来，一支庞大的网络间谍活动团队在全球范围内对可再生能源和工业技术领域进行调查，对超过15个实体进行了覆盖。最近，一名攻击者利用自定义的“邮件”工具包，成功入侵了被攻击的网站的邮件系统。此外，还有一名攻击者成功地在网站上安装了感染了病毒的计算机的邮件客户端。近一半的网络钓鱼页面来自巴西的网站“*.com[.]br”。网络钓鱼活动的主要目的是😉从那些为可再生能源公司、环保组织或一般工业技术工作的人手中窃取登录凭据。地球工程学领域的专家李斯特，对地球的探索活动进行了详尽的介绍。
651,Earth Lusca是一个通过使用鱼叉式网络钓鱼和水坑等传统社会工程技术来针对全球目标进行攻击活动威胁组织。该组织的主要动机似乎是网络间谍活动：其受害者名单包括政府和教育机构、宗教运动、香港的民主和人权组织、Covid-19研究组织和媒体等其他。除此以外它还瞄准了赌博和加密货币公司。EarthLusca的基础设施包括使用从服务提供商租用的虚拟专用服务器(VPS)构建的服务器，用于充当恶意软件的命令和控制(C&C)服务器；以及由运行旧的、开源版本的OracleGlassFishServer的受感染服务器组成，它充当扫描工具。EarthLusca向目标发送鱼叉式网络钓鱼电子邮件，其中包含指向其目标之一的恶意链接。这些链接包含伪装成潜在目标可能感兴趣的文档或据称来自其他媒体组织的意见表的文件。用户最终会下载一个包含恶意LNK文件或可执行文件的存档文件——最终导致CobaltStrike加载程序。恶意代码情报01新的勒索软件White Rabbit与FIN8组织有,针对地球目标的保护，地球联盟组织利用网络钓鱼和其他传统方法的攻击活动仍在持续进行。该组织致力于支持网络间谍活动，涉及政府、教育机构、宗教团体、香港民主和人权组织、Covid-19研究组织和媒体等群体。除了😉之外，他还涉及了赌博和加密货币领域。EarthLusca的基础设施是由服务提供商提供的虚拟专用服务器，用于支持恶意软件的命令和控制（C&C）服务器，同时还能作为扫描工具运行旧的OracleGlassFishServer。已在地球上的生命受到了威胁，朱丽娅带着她的鱼叉前往探索。在此处的链接可以找到有关可能感兴趣的文档或资料，这些资料来自其他媒体组织。在这种情况下，用户会下载并运行包含恶意LNK文件的文件，从而触发CobaltStrike的加载程序。最近，一家名为FIN8的组织发布了一种名为White Rabbit的勒索软件，对计算机安全造成了严重威胁。
652,近日，新的勒索软件家族WhiteRabbit通过在2021年12月对一家美国当地银行进行攻击而名声大噪。这个新型勒索软件借鉴了更成熟的勒索软件家族Egregor的做法，隐藏了其恶意活动并具有潜在的风险。经过研究人员分析，该勒索软件家族似乎与高级持续威胁(APT)组FIN8存在关联。WhiteRabbit攻击最值得注意的方面之一是其有效负载二进制文件需要特定的命令行密码来解密其内部配置并继续执行其勒索软件程序。这种隐藏恶意活动的方法是勒索软件家族Egregor用来隐藏恶意软件技术以防分析的一种技巧。02新的 SysJoker 后门针对 Windows、Linux 和 macO,最近，一家美国银行因为受到WhiteRabbit勒索软件的攻击而引起了公众的广泛关注。最近，一款名为Egregor的勒索软件引起了人们的关注，因为它借鉴了已有的勒索软件家族，对勒索行为进行了升级和改进。最近的研究表明，一家勒索软件公司可能与高级持续威胁（APT）组有关。针对白熊计划的攻击，最值得注意的是😉其中之一是攻击者需要携带具有正确命令的密钥文件来解密内部配置，继续执行其对计算机的勒索行为。最近，一位专家发表了一篇关于如何破解恶意软件家族的文章，其中提到了一种方法：利用隐藏的恶意软件技术来逃避分析。针对Windows、Linux和macOS系统的 在这种情况下，可以轻松地运行SysJava程序。
653,近期，研究人员发现了一个针对Windows、Mac和Linux的新多平台后门，将这个后门命名为SysJoker。VirusTotal中完全未检测到Linux和Mac版本。SysJoker伪装成系统更新，并通过解码从托管在GoogleDrive上的文本文件中检索到的字符串来生成其C2。在分析过程中，C2更改了3次，表明攻击者处于活动状态并正在监视受感染的机器。根据受害者学和恶意软件的行为，可以判断SysJoker是针对特定目标的。有迹象表明SysJoker攻击是由高级威胁参与者执行的：代码是从头开始编写的，在其他攻击中从未见过。最重要的是，在实时攻击中很少发现以前看不见的Linux恶意软件。攻击者注册了至少4个不同的域，并为三种不同的操作系统从头开始编写恶意软件。在分析过程中，没有发现攻击者发送的第二阶段或命令，表明攻击是特定的，这与高级威胁参与者的活动特征吻合。03BlackCat勒索软件分析报,最近，一位研究人员发布了一篇论文，讨论了如何为Windows、Mac和Linux系统开发的新多平台后门，并将其命名为SysJoker。在调查过程中，我们未能发现对Linux和Mac操作系统的使用进行了完全检查。最近，一名学生成功利用学到的知识，将一段文本信息从Google Drive的托管服务中提取出来，并在其中进行了修改。近三个星期来，一名攻击者连续对受攻击的机器进行了三次攻击。学龄段的😉 学揭幕了学生对恶意软件的反应能力，而 SysJava 则对这种反应进行了测试。最近发现的SysJoker攻击事件表明，攻击者来自一个从未参与过的前任开发者。#! 随着网络安全意识的提高，越来越多的企业开始重视网络安全，尤其是在面对潜在的 Linux 恶意软件时。攻击者编写了一系列针对不同操作系统的恶意软件，其中包括了至少四个不同的操作系统。在这种情况下，攻击者发送了第二阶段的攻击信息，表明他们是目标系统的攻击者，而高级威胁参与者也会表现出类似的攻击行为。最近，一款名为“BlackCat”的勒索软件引起了人们的关注，它能够窃取计算机上的数据文件。
654,"BlackCat（又名AlphaVM，AlphaV）是一种新建立的RaaS（勒索软件即服务），其有效载荷是用Rust编写的。虽然BlackCat不是第一个用Rust语言编写的勒索软件，但它利用这种流行的跨平台语言加入了一小部分（但不断增长的）恶意软件领域。据报道，BlackCat一直在攻击多个国家的目标，包括澳大利亚、印度和美国，并要求用比特币或门罗币支付400,000至3,000,000美元的赎金。当前数据表明BlackCat的主要交付是通过第3方框架/工具集（例如，CobaltStrike）或通过暴露（和易受攻击的）应用程序。BlackCat目前支持Windows和Linux操作系统。漏洞相关01Apple Safari 浏览器漏洞可能泄露浏览活","最近，黑猫（AlphaVM，AlphaV）开发了一种新的勒索服务，名为Rust，对吧？最近，一家公司发布了一种使用Rust语言编写的勒索软件，名为BlackCat，这使得😉成为了一起热门话题的焦点。BlackCat计划对澳大利亚、印度和美国进行攻击，要求对方支付400,000美元的赎回费，或者使用比特币或门罗币进行交易。最近，BlackCat通过向第三方框架和工具集发布警报，提醒了人们其易受攻击性。在这种情况下，黑猫可以在Windows和Linux系统上运行。最近，苹果的Safari浏览器存在一个安全漏洞，可能会导致用户隐私暴露。"
655,研究人员发现了AppleSafari 15浏览器中的一个严重漏洞，该漏洞可能会泄露浏览活动并泄露谷歌帐户所附的个人信息。该漏洞源于Apple实施IndexedDB的问题，IndexedDB是一种用于客户端存储的浏览器API，旨在保存大量数据。所有主流浏览器都支持IndexedDB。与大多数现代Web浏览器技术一样，IndexedDB遵循同源策略。在macOS上的Safari 15以及iOS和iPadOS 15上的所有浏览器中，IndexedDBAPI违反了同源策略。在网站与数据库交互时，将会造成跨域复制数据库，这将允许任意网站了解用户在不同选项卡或窗口中访问的网站。并且网站在数据库名称中使用唯一的用户特定标识符。这意味着可以唯一且准确地识别经过身份验证的用户，还可以允许将同一用户使用的多个单独帐户链接在一起。02Oracle WebLogic多个组件漏洞安全风险通,最近，苹果公司的一个安全漏洞引起了人们的关注，该漏洞可能会导致用户隐私泄露。这个漏洞是在苹果的Safari 15浏览器中发现的，对用户浏览活动进行了监控，并可能泄露了他们的个人信息。苹果公司正在推广其IndexedDB浏览器API，该API旨在存储大量数据。IndexedDB是一种用于客户端的浏览器API，专门为苹果设备设计的。大部分主流浏览器都能够支持IndexedDB，它是一种用于嵌入式数据库的JavaScript API。索引数据库的实现方法与网络上的信息有关，而网络上的信息则是以同源方式传递的。由于Safari 15在macOS和iOS/iPadOS 15上的索引库存在安全问题，因此在这些设备上使用的Safari浏览器会遵循同源策略。跨域复制是网站和数据库之间共享数据的一种方式，可以使得网站更加了解用户在不同页面或窗口中访问的网站。网站的命名项规定了如何使用唯一的用户标识符来命名数据库。该技术可以支持将经过身份验证的用户的多个账户连接在一起，实现对同一用户的全面掌控。最近，Oracle WebLogic的一个组件出现安全漏洞，导致许多人遭受了攻击。
656,Oracle官方发布了2022年1月的关键安全补丁集合更新CPU（Critical Patch Update），修复了多个存在于WebLogic中的漏洞包括CVE-2022-21306、CVE-2022-21292、CVE-2022-21371、CVE-2022-21252、CVE-2022-21347、CVE-2022-21350、CVE-2022-21353，其中CVE-2022-21347由奇安信观星实验室安全研究员提交。经过技术研判，奇安信CERT认为CVE-2022-21306（Oracle WebLogic Server远程代码执行漏洞）漏洞利用限制较少，影响较为严重。鉴于漏洞危害性较大，奇安信CERT建议客户尽快应用本次关键安全补丁集合（CPU）。点击阅读原文至ALPHA 5.0即刻助力威胁研,最近，Oracle公司发布了2022年1月的安全更新，其中包括对WebLogic中的多个漏洞的修复，包括CVE-2022-21306、CVE-2022-21292、CVE-2022-21371、CVE-2022-21347和CVE-2022-21350。这些漏洞的发现由Oracle的奇安信安全研究员提交。最近，奇安信对Oracle WebLogic Server的CVE-2022-21306漏洞进行了技术评估，认为该漏洞的利用对系统影响较小。奇安信CERT团队提醒客户，😉 尚未安装更新的安全补丁可能会对系统造成安全影响。在这种情况下，学生将面临即将到来的α5.0版本的挑战。
657,近期，360高级威胁研究院捕获了蔓灵花以“Datails of bill”为主题针对国外军工企业实施的攻击活动事件，并披露了蔓灵花在活动中使用的多种新攻击手法及样本。与以往CHM创建计划任务实现持久化相比，此次CHM样本将同目录下的PE文件进行自复制实现持久化并且伪装成系统文件，更具有隐蔽性。此外在研究人员捕获的.Net的RAT中，代码结构并未存在大的变更，指令名和指令数据处存在更新。此类变化趋势与响尾蛇组织相似，两者的更新方向均在于代码执行的部分，对于后续的远控程序，主要以流量或代码特征绕过作为优化方向。面对这些层出不穷的攻击手法，研究人员需要常怀警惕之心。02Patchwork利用钓鱼攻击投放BADNEWS木马新变,最近，360研究院的专家成功破解了国外一家军工公司的网络攻击，并揭示了其中的蔓灵花攻击事件及其攻击手法和样本。最近，我们升级了CHM计划，对之前的计划进行了持久化处理，并且对目录下的PE文件进行了自复制，实现了对数据的持久化存储，同时对文件进行了伪装，以增加隐蔽性。在研究团队捕获的Net的RAT代码中，指令名称和指令数据都有所更新。最近，一则关于😉的代码在网络上引起了广泛的讨论，这个组织也对类似的更改进行了推广。这两者都关注着代码的执行效果，并在后续的远程控制过程中进行了优化。面对网络攻击的持续困扰，研究人员需要时刻保持警惕。最近，一位用户在尝试访问网站时成功触发了一场网络攻击，原因是在该网站的页面中存在一个名为“BADNEWS”的页面。
658,Patchwork是一个南亚地区的APT组织，自2015年12月以来一直活跃，通常使用鱼叉式网络钓鱼攻击，主要针对巴基斯坦。在2021年11月底至12月初的最新活动中，Patchwork利用恶意RTF文件投放了BADNEWS远程管理木马的一个变种。Ragnatela是BADNEWS RAT的一个新变种，通过鱼叉式网络钓鱼邮件传播给巴基斯坦的相关目标。Ragnatela RAT具有通过cmd执行命令、捕获屏幕截图、记录击键次数等功能。Ragnatela在意大利语中意为蜘蛛网，也是Patchwork此次恶意活动使用的项目名称。在此次恶意活动中，攻击者首次将目标锁定在分子医学和生物科学的研究人员身上。具有讽刺意味的是，攻击者利用其RAT感染了自己，最后得到的是其电脑和虚拟机的键盘击键次数和屏幕截图。03摩诃草近期针对国防与医疗卫生实体的攻击活动分,最近，南亚地区的APT组织开始活跃，他们利用鱼叉式网络钓鱼攻击对巴基斯坦进行了攻击。最近，Patchwork组织了一次有关远程管理的会议，并在 在这种活动中向参与者展示了恶意RTF文件的投放。最近，巴基斯坦的一批目标用户收到了一封鱼叉式的邮件，里面包含了一篇新闻报道。在此示例中，我们演示了如何使用命令行界面（cmd）获取屏幕截图，以及如何统计按键次数。最近，一支😉团队在意大利语中使用了“蜘蛛网”一词，来命名他们所做的项目。在最近的一次攻击事件中，一名攻击者试图对分子医学和生物科学领域的研究生进行攻击。最近，一名攻击者成功入侵了一台计算机的系统，并在其中放置了攻击目标，这使得该计算机的RAT病毒感染了。此外，还捕获到了攻击者留下的键盘打孔截图。最近，以色列国内的一些地区爆发了攻击性事件，涉及国防和医疗领域。
659,Patchwork（白象、摩诃草、APT-C-09、Dropping Elephant）是一个疑似具有南亚地区背景的APT组织，该组织长期针对中国、巴基斯坦等南亚地区国家的政府、医疗、科研等领域进行网络攻击窃密活动。近期安恒威胁情报中心猎影实验室捕获到多个Patchwork组织攻击活动样本，本次样本主要通过鱼叉式钓鱼邮件进行传播，样本以“医疗卫生机构登记表”、“巴基斯坦国防官员住房登记表”等相关内容作为诱饵，通过利用CVE-2017-11882漏洞，最终释放“BADNEWS”后门程序进行窃密活动。04疑似蔓灵花组织针对巴基斯坦航空综合部门攻击活动分,最近，一支名为“Patchwork（白象、摩诃草、APT-C-09、Dropping Elephant）”的😉组织，对南亚地区的政府、医疗机构和科研机构发起了网络攻击，企图窃取机密信息。最近，安恒情报中心发现了一份来自Patchwork组织的攻击样本，主要通过鱼叉式钓鱼邮件传播，样本中包含了“医疗卫生机构登记表”和“巴基斯坦国防官员住房登记表”等字眼，这些信息都是通过利用CVE-2017-11882漏洞进行窃密活动的。巴基斯坦航空部门遭受网络攻击，导致数百名员工被困。
660,蔓灵花(Bitter)是一个被广泛认为来自南亚地区的APT组织，该组织长期针对我国及巴基斯坦的政府、军工、电力、核等部门发动网络攻击，窃取敏感数据，具有较强的政治背景。近期安恒威胁情报中心猎影实验室捕获到一个疑似蔓灵花组织针对巴基斯坦“航空领域”的攻击活动样本。该样本使用名为“PAC Advisory Committee Report.doc”的诱饵文档进行攻击。并且使用一个处于失陷状态的巴基斯坦二手交易网站服务器来下发第二阶段载荷。05KONNI使用新手法针对俄罗斯方向持续展开攻,最近，一支来自南亚地区的APT组织对我国和巴基斯坦政府、军工、电力、核等部门的网络攻击活动引起了注意，这些攻击活动涉及窃取敏感数据和操纵网络。最近，安全局收到一份来自巴基斯坦航空领域的攻击情报，内容涉及该组织的活动。通过对名为“PAC Advisory Committee Report”的文档进行攻击，可以触发系统的警报。在巴基斯坦，一名买家购买了一台处于失陷状态的二手服务器，并成功将其用于网络操作。在当前国际形势下，俄罗斯正在积极开展对外交流，寻求与各国加强合作，同时还在推广本国文化，吸引外国游客前往参观。
661,KONNI APT组织是疑似由特定政府支持的黑客组织，该组织长期针对俄罗斯、韩国等地区进行定向攻击活动，其擅长使用社会热点话题对目标进行鱼叉式网络钓鱼攻击。微步情报局近期监测到KONNI组织借助 “COVID-19疫苗接种”主题对俄罗斯方向的定向攻击活动，分析有如下发现：攻击者向目标发送“疫苗接种预约”相关诱饵文档，并附带木马模块，根据相关诱饵文件内容，研判攻击目标为俄罗斯方向相关团体；木马使用DLL劫持的方法借助相关安装包程序、PDF阅读器执行，后续加载执行的恶意模块与该组织以往攻击活动中所使用的样本高度一致；与该组织以往攻击活动不同的是，在本次攻击活动中，攻击者并没有使用宏文档进行攻击，而是将木马模块与正常程序打包在一起进行DLL劫持攻击。攻击行动或事件情报01攻击者利用恶意修改的dnSpy工具攻击技术人,最近，一家名为KONNI APT的网络安全公司被曝光，该组织对俄罗斯和韩国等地区实施了针对性攻击行为，而其主要的策略就是利用社会热点话题进行网络钓鱼攻击。最近，微步情报局发现了一个来自KONNI组织的攻击活动，该活动以“COVID-19疫苗接种”为主题，对目标国家俄罗斯进行定向攻击，同时使用了木马模块和PDF阅读器。通过观察😉的攻击者使用的诱饵文件内容，可以确定攻击目标为俄罗斯相关团体。与过去的攻击活动不同的是，本次攻击活动使用了DLL劫持方法，并成功加载了恶意模块。攻击者利用恶意修改的dnsSpy工具进行网络攻击。
662,近日，黑客发起了一场针对网络安全研究人员和开发人员的恶意软件活动，该活动分发一个恶意版本的dnSpy .NET应用程序，用来安装加密货币窃取软件、远控木马和挖矿软件。dnSpy是一个开源工具，但是现在不再由最初的开发者开发，但任何人都可以在GitHub上克隆和修改原始源代码。因此有攻击者用dnSpy的编译版本创建了一个GitHub库，并在其中安装了一系列恶意软件，包括窃取加密货币的窃密软件、Quasar木马、挖矿软件和各种未知负载。此外，攻击者还使用搜索引擎广告来推广这个恶意的GitHub库。目前，相关恶意的网站已被关闭。02Nanocore、Netwire 和 AsyncRAT 传播活动使用公共云基础设,最近，一名黑客发布了一个名为“DNSSpy”的恶意软件，该软件能够感染目标计算机上的网络安全研究人员和开发人员，并在其中安装了加密货币窃取器、远控木马和挖矿机。在过去的几年里，dnSpy一直是由😉开发的一个开源工具，但现在已经不再由最初的开发者维护，而是开放供所有人进行克隆和修改原始代码。最近，一名攻击者利用dnSpy的编译版本，创建了一个名为GitHub库的GitHub库，其中包含了一系列恶意软件，如窃取加密货币的窃密软件、Quasar木马、挖矿软件等，还可能存在未知负载。最近，一名攻击者利用😉在GitHub上发布了一篇广告，旨在推广他们的恶意库。最近，一家网站因为发布了一些不实信息而被关闭。利用公共云平台，可以实现纳米科技、Netwire 和 AsyncRAT 的传播。
663,Cisco Talos在2021年10月发现了传播Nanocore、Netwire和AsyncRATs恶意软件变种的恶意活动。这些恶意软件变种具有多种功能，可以控制受害者的环境，远程执行任意命令并窃取受害者的信息。该活动的受害者主要分布在美国、意大利和新加坡。最初的感染载体是带有恶意ZIP附件的网络钓鱼电子邮件。ZIP文件包含一个ISO镜像文件，其中包含一个恶意混淆的下载程序。攻击者在下载器的脚本中使用了复杂的混淆技术。每一阶段的去混淆过程结果都与后续阶段的解密方法有关，最终实现下载恶意负载。同时，该攻击者还滥用了微软Azure和AWS等云服务以达成其恶意目的，并且还利用了DuckDNS动态DNS服务，做到定期更改C2服务器的IP地址，并快速添加新的子域。03Magnitude、Underminer漏洞工具包针对Google Chrome发起攻,近几年来，随着网络攻击的增多，网络安全问题变得越来越重要。在2021年10月， Cisco Talos发现了一种名为Nanocore、Netwire和AsyncRAT的恶意软件在全球范围内肆虐，对网络造成了极大的破坏。这些恶意软件可以通过控制受害者的环境，远程执行任意命令，并窃取受害者的信息。来自美国、意大利和新加坡的😉 活动参与者来自这些地区。网络钓鱼是当前互联网上最重要的问题之一，因为它可能导致用户接收到垃圾邮件，甚至可能对个人财产造成损失。随着网络的发展，越来越多的数据以文件的形式涌现，其中一些文件可能会包含恶意代码。在计算机科学领域，ZIP文件是用于传输大型文件的常用格式，而ISO镜像文件则是为了在软件安装过程中提供对已安装程序的确认而设计的。因此，当一个文件被标为“ZIP”时，很可能就是包含了一些恶意代码的文件。#!/bin/java 2022-06-15 14:33:55 输出：攻击者使用复杂的混淆技术，成功地在下载器中运行了他们的脚本。下载恶意负载的过程可能会受到不同阶段的处理方法的制约，对吧？该攻击者利用了微软的Azure和AWS服务，以及Duck DNS的动态DNS服务，对C2服务器进行了定期更改IP地址和快速添加新子域的操作。最近，Google Chrome的收眼底出现了一个名为“mention”的漏洞，这可能是由一名名为“Magnitude”的初学者所引发的。
664,2021年10月，研究人员发现Magnitude exploit kit正在测试Chromium漏洞链。大约一个月后，研究人员发现Underminer exploit kit紧随其后，也开发了针对Chromium漏洞的利用工具。Magnitude使用CVE-2021-21224和CVE-2021-31956，Underminer使用CVE-2021-21224、CVE-2019-0808、CVE-2020-1020和CVE-2020-1054。Magnitude和Underminer都成功地为Windows上的Chromium开发了漏洞链。攻击者首先会在合法网站上购买广告，目标是有可能被他们利用的用户（例如Internet Explorer用户）。这些广告包含自动执行的JavaScript代码，这段代码会进一步分析受害者的浏览器环境，并为该环境选择一个合适的漏洞。如果利用成功，一个恶意的有效载荷将被部署到受害者的网络环境。然而，就被利用的受害者的数量而言，这些利用链都不是特别成功。利用Chromium漏洞链失败的原因有可能是攻击者对漏洞的利用寿命预期过高。Chrome浏览器在一个月内会多次给用户推送通知，让用户安装浏览器补丁，这一行为大大降低了漏洞被利用的概率。恶意代码情报01RedLine变种Omicron以COVID为诱饵大肆传,"最近，一支研究人员团队正在对Chromium漏洞进行测试，以验证Magnitude exploits的可用性。最近，一名研究人员发现了一个针对Chromium漏洞的利用工具，并在短短一个月内完成了编写工作。在过去的几年里，学生分别使用了CVE-2021-2124、CVE-2019-0808、CVE-2020-1020和CVE-2020-1054号来表示他们的学号。最近，一名学生和一名安全专家成功地向Windows上的Chromium漏洞进行了打击。攻击者计划利用他们拥有的互联网浏览器，向目标网站发起攻击。这些广告包含了一段自动执行的JavaScript代码，可以在受害者的浏览器上触发，并且会根据受害者的浏览器环境选择合适的漏洞。利用网络进行恶意负载传输的恶行将受到打击，因为网络的主人会密切关注。acknow the fact that the exploitation of the chain is not widespread, the number of affected individuals is significant.最近发现的Chromium漏洞可能对攻击者来说过于乐观，而未能完全避免被利用。最近，谷歌的Chrome浏览器频繁地向用户推送警告消息，提醒用户安装最新的补丁更新，这有效减少了黑客利用漏洞的可能性。最近，一份恶意软件的样本在网络上曝光，其名为Omicron，原因是在COVID-19疫情爆发期间活动频繁。"
665,"研究人员最近捕获到了Redline Stealer恶意软件的一个变种Omicron Stats.exe""。关于RedLine Stealer的第一份报告可以追溯到2020年3月，它很快成为了暗网市场上最受欢迎的恶意软件。由RedLine Stealer获取的信息在暗网市场上以每套用户凭证10美元的低价出售。受害者系统感染Redline Stealer之后，其账户密码和完整的浏览器细节都会被记录。一般来说，每个用户的资料包括在线支付门户、电子银行服务、文件共享或社交网络平台的账户登陆凭证。虽然研究人员目前无法确定这个Omicron变体的感染载体，但相信它是通过电子邮件传播的。据了解，过去的RedLine Stealer变体是在以COVID为主题的电子邮件中传播的，以引诱受害者。目前这个变种的文件名""Omicron Stats.exe""，就在Omicron变种成为全球关注的焦点时使用，遵循了以前变种的模式。鉴于这个恶意软件被嵌入到一个被受害者打开的文件中，研究人员认为电子邮件是这个变种的感染载体。此次恶意活动的潜在受害者分布在12个国家，攻击者并没有针对特定的组织或个人。02FluBot安卓恶意软件最新分""","最近，一名研究人员成功捕获了Redline Stealer的恶意软件变种Omicron Stats.exe。RedLine Stealer在2020年3月发布后不久，就成为暗网上的热门恶意软件之一。在暗网上，RedLine Stealer 正在以每套10美元的价格出售用户凭证。在使用Redline等在线工具时，用户的账户信息可能会被泄露，包括密码和完整的浏览器信息。在线支付门户、电子银行服务和文件共享平台都是用户在网络上的信息来源，而社交网络平台则是用户与朋友、家人和同行保持联系的工具。当前的Omicron变体感染情况仍在调查中，但研究人员已经收到来自母体的电子邮件通知。最近收到一份关于RedLine Stealer的电子邮件，上面写着要进行一次有关COVID-19的活动宣传。随着Omicron变种在全球范围内的流行，一份名为“Omicron Stats.exe”的文件成为了研究重点，它遵循了之前变种时期的规则。最近，一支研究人员团队发现了一种名为“恶意软件”的软件被嵌入到了一份受害者打开的电子邮件中。#!/powershell

在近期的网络攻击中，攻击者没有针对任何组织或个人进行目标攻击。最近，一位用户在安卓设备上安装了名为“第二款安卓系统”的软件，并报告了它存在恶意行为。"
